resource	start_state	start_sha256	end_state	end_sha256	end_mode
skills/map-technical-landscapes/references/landscape-v2.schema.json	absent	-	present	4d7d1123bdef5a7c0632956a7646b9db63b52b6d8d71e24eb0f6bb0de789c6e6	644
skills/map-technical-landscapes/scripts/validate_landscape.py	present-untracked	unavailable	present	3d597192b8e59be684ad1b7d9a7225a4f75e696d2620c27e62e39723c2802c6a	644
skills/map-technical-landscapes/tests/fixtures/invalid_nan.json	absent	-	present	11a9047e3cd8f469e3495ddb14fcb9cdb7c9c6ee67beded7cd2babd059373d39	644
skills/map-technical-landscapes/tests/fixtures/valid_landscape.json	absent	-	present	d85be4398c1bec6b4618e0b1560e74688cf94b8cce2c3147640e32d8834c373f	644
skills/map-technical-landscapes/tests/test_validate_landscape.py	absent	-	present	e245ea8dde64e43a2de8aed7803ca80e929b4bf655bd4d74bb801e14890db60a	644
skills/mine-history-tool-landscapes/SKILL.md	present-untracked	unavailable	present	214713b4e212d1ee747826bb23ecb8438341658f6205ea7c7a5e3562c0538c8b	644
skills/mine-history-tool-landscapes/agents/openai.yaml	present-untracked	unavailable	present	24990148bc3e8c88b3d3dedae4ad44841ae24a183fd9ecf30862c3155fda0ad0	644
skills/mine-history-tool-landscapes/references/history-source-contract.md	present-untracked	unavailable	present	04c3379bb56fc4a83c560e2d53cec56a79f0a97ca8ef3c7783a09154c92c4f36	644
skills/mine-history-tool-landscapes/scripts/index_agent_history.py	present-untracked	unavailable	present	1ad731dfd19107f0d276e254f948e30cc41b68df6ea45c787ac469d9c59e3c34	644
skills/mine-history-tool-landscapes/scripts/strict_json.py	absent	-	present	fe571c7bded2cca006f54ef1b372fd8671d96ea7321e88aa199e109aecb29e8a	644
skills/mine-history-tool-landscapes/scripts/validate_history_evidence.py	present-untracked	unavailable	present	f6cf9fff13d7a850d52c2ab30af6982596bea6fc8ff8e56f83d7adc7e5655ae2	644
skills/mine-history-tool-landscapes/tests/test_history_pipeline.py	absent	-	present	680c74c5eff985609d0fb41c9a289e96915ba556f65124b2fb2058136dfd00ed	644
skills/agent-mail/README.md	tracked	58ddb1c8ec979765e6ff866bc6f3c00b8a1aa53e88ee2f6e2aca57fa7c0ddb1a	absent	-	-
skills/front-agent-orchestration/scripts/front-agent-bin	present-ignored-generated	unavailable	absent	-	-
skills/align-work/SKILL.md	late-discovered-untracked-excluded	c1c85e734c36c3ce84a9005e041711857d356f8ea80c28bb19fcd2ac9f1fc81d	present-excluded-live	not-stable-external-writer	644
skills/align-work/agents/openai.yaml	late-discovered-untracked-excluded	eb82b899626a07f1c0bd5de14237bcb40c983331f1cce7c94c618aa00e401190	present-excluded-live	not-stable-external-writer	644
skills/align-work/assets/packet-templates/decisions.md	late-discovered-untracked-excluded	a3d8ad0c1f11d73cd6ba44cfa4475c4e4cb55b9057ef99218fc36266d20360c4	present-excluded-live	not-stable-external-writer	644
skills/align-work/assets/packet-templates/execution.md	late-discovered-untracked-excluded	476aa26e8174aeccf3c31b2844155cdfa4551740cd8a11a55315430794d7c4f3	present-excluded-live	not-stable-external-writer	644
skills/align-work/assets/packet-templates/facts.md	late-discovered-untracked-excluded	ea4d08c0c4b428a0fde7b8fdc45b85c331d3c991d94badc6d490cd804c654ff9	present-excluded-live	not-stable-external-writer	644
